Rank,Symbol,Company Name,Quant,SA Authors,Wall St.,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
1,IQ,iQIYI| Inc.,4.99,4,3.95,6425503700,0.00%,D+,C+,C,A+,A+
2,NGL,NGL Energy Partners LP,4.99,3,2.33,367700864,0.00%,B-,B-,D+,A+,A
3,PMTS,CPI Card Group Inc.,4.99,3,5,462612064,0.00%,B+,C+,B,A+,A
4,TRMD,TORM plc,4.99,3,5,2822498050,6.02%,C,A+,B-,A+,A+
5,AMAM,Ambrx Biopharma Inc.,4.99,3,4.33,493045728,0.00%,C,A,C,A+,A-
6,BWMN,Bowman Consulting Group Ltd.,4.99,0,5,370857408,0.00%,C-,A,C,A+,A+
7,MPC,Marathon Petroleum Corporation,4.99,4,4.33,54611427000,2.15%,C-,B+,A+,A,A+
8,DLAKY,Deutsche Lufthansa AG,4.98,3,3,12120595500,0.00%,A,A+,A,A+,A+
9,ALGM,Allegro MicroSystems| Inc.,4.98,2.5,4.66,8637023200,0.00%,D,A,A-,A+,A-
10,YEXT,Yext| Inc.,4.98,4,3,1121807490,0.00%,C-,A+,C-,A+,A+
11,CDTX,Cidara Therapeutics| Inc.,4.98,3.5,4.33,147278912,0.00%,C-,A-,D+,A+,B+
12,RYCEY,Rolls-Royce Holdings plc,4.98,4.5,4,14267838500,0.00%,C-,A,A,A+,A+
13,TNK,Teekay Tankers Ltd.,4.98,4,4.5,1389460220,0.00%,C-,A+,C+,A+,A
14,PARR,Par Pacific Holdings| Inc.,4.98,3,3.71,1618626300,0.00%,C-,B,C+,A+,A+
15,DTEGY,Deutsche Telekom AG,4.97,4,4.5,1.14E+11,0.00%,C+,C+,A+,A,A
16,PRVB,Provention Bio| Inc.,4.97,4,3.66,2185498880,0.00%,D+,C-,C+,A+,B
17,OCCI,OFS Credit Company| Inc.,4.97,2,5,95779278,24.04%,A+,B-,B,B-,A+
18,PERI,Perion Network Ltd.,4.97,4.2,4.5,1651622400,0.00%,C,A-,B+,A+,A+
19,ASUR,Asure Software| Inc.,4.97,3,4.5,274888384,0.00%,C,A,B-,A+,B
20,OSPN,OneSpan Inc.,4.97,0,4.5,730424190,0.00%,C-,A,C,A+,A+
21,CMT,Core Molding Technologies| Inc.,4.97,4,5,139648896,0.00%,B-,B+,C,A+,A
22,NRDBY,Nordea Bank Abp,4.96,3,5,38593270000,14.72%,A+,B+,A+,A,A
23,BBVA,Banco Bilbao Vizcaya Argentaria| S.A.,4.96,4,4,38780711000,5.72%,A-,A-,A+,A+,A
24,FSLR,First Solar| Inc.,4.96,2.83,4.04,21281306600,0.00%,C,A,C,A+,B+
25,VLO,Valero Energy Corporation,4.96,3.6,4.23,46902329000,3.13%,C+,A-,A,A,A
26,TGLS,Tecnoglass Inc.,4.96,5,5,1762059650,0.76%,D+,A-,A-,A+,A
27,BRK.B,Berkshire Hathaway Inc.,4.96,3.81,3.75,6.43E+11,0.00%,D+,B+,A+,B+,A
28,ASRT,Assertio Holdings| Inc.,4.96,4.2,4.33,324022912,0.00%,A-,C,A+,A+,C-
