ID,Company Id,Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares
A026,A001,AAPL,APPLE INC,COM,37833100,1049,0.011,4648
A102,A001,ABT,ABBOTT LABS,COM,2824100,230,0.003,3141
A074,A001,ADBE,ADOBE SYS INC,COM,00724F101,342,0.004,1267
A013,A001,AGG,ISHARES TR,CORE US AGGBD ET,464287226,1536,0.017,14559
A041,A001,AIA,ISHARES TR,ASIA 50 ETF,464288430,670,0.007,10730
A015,A001,AMZN,AMAZON COM INC,COM,23135106,1476,0.016,738
A115,A001,AXP,AMERICAN EXPRESS CO,COM,25816109,213,0.002,2001
A042,A001,BA,BOEING CO,COM,97023105,662,0.007,1780
A087,A001,BAC,BANK AMER CORP,COM,60505104,263,0.003,8940
A106,A001,BMY,BRISTOL MYERS SQUIBB CO,COM,110122108,225,0.002,3621
A119,A001,BP,BP PLC,SPONSORED ADR,55622104,203,0.002,4401
A044,A001,BRK-A,BERKSHIRE HATHAWAY INC,DEL CL A,84670108,640,0.007,2
A014,A001,BRK-B,BERKSHIRE HATHAWAY INC,DEL CL B NEW,84670702,1481,0.016,6919
A003,A001,BSV,VANGUARD BD INDEX FD INC,SHORT TRM BOND,921937827,3157,0.034,40459
A036,A001,BWX,SPDR SERIES TRUST,BLOMBERG INTL TR,78464A516,750,0.008,27495
A097,A001,CMP,COMPASS MINERALS INTL INC,COM,20451N101,244,0.003,3624
A070,A001,CRM,SALESFORCE COM INC,COM,79466L302,353,0.004,2219
A107,A001,CSCO,CISCO SYS INC,COM,17275R102,223,0.002,4583
A093,A001,CVX,CHEVRON CORP NEW,COM,166764100,250,0.003,2046
A025,A001,DGRO,ISHARES TR,CORE DIV GRWTH,46434V621,1054,0.012,28447
A033,A001,DIA,SPDR DOW JONES INDL AVRG ETF,UT SER 1,78467X109,826,0.009,3124
A047,A001,DIS,DISNEY WALT CO,COM DISNEY,254687106,587,0.006,5024
A092,A001,DIVY,REALITY SHS ETF TR,DIVS ETF,75605A108,254,0.003,9419
A060,A001,DUK,DUKE ENERGY CORP NEW,COM NEW,26441C204,423,0.005,5289
A072,A001,DVY,ISHARES TR,SELECT DIVID ETF,464287168,344,0.004,3451
A073,A001,EEM,ISHARES TR,MSCI EMG MKT ETF,464287234,344,0.004,8016
A098,A001,EFA,ISHARES TR,MSCI EAFE ETF,464287465,242,0.003,3553
A094,A001,EPD,ENTERPRISE PRODS PARTNERS L,COM,293792107,249,0.003,8661
A095,A001,EZU,ISHARES INC,MSCI EURZONE ETF,464286608,246,0.003,5996
A082,A001,FDN,FIRST TR EXCHANGE TRADED FD,DJ INTERNT IDX,3.37E+306,271,0.003,1913
A016,A001,FLOT,ISHARES TR,FLTG RATE NT ETF,46429B655,1392,0.015,27470
A078,A001,FPE,FIRST TR EXCHANGE-TRADED FD,PFD SECS INC ETF,3.37E+112,313,0.003,16393
A084,A001,FTSL,FIRST TR EXCHANGE TRADED FD,SENIOR LN FD,33738D309,269,0.003,5600
A122,A001,GGT,GABELLI MULTIMEDIA TR INC,COM,36239Q109,193,0.002,20915
A055,A001,GMF,SPDR INDEX SHS FDS,ASIA PACIF ETF,78463X301,475,0.005,4915
A043,A001,GOOG,ALPHABET INC CAP STK CL C,CAP STK CL C,02079K107,658,0.007,551
A029,A001,HD,HOME DEPOT INC,COM,437076102,931,0.01,4495
A083,A001,HUM,HUMANA INC,COM,444859102,271,0.003,800
A069,A001,HYG,ISHARES TR,IBOXX HI YD ETF,464288513,353,0.004,4089
A006,A001,IBB,ISHARES TR,NASDQ BIOTEC ETF,464287556,3002,0.033,24617
A024,A001,ICVT,ISHARES TR,CONV BD ETF,46435G102,1057,0.012,17752
A051,A001,IDU,ISHARES TR,U.S. UTILITS ETF,464287697,560,0.006,4180
A005,A001,IJH,ISHARES TR,CORE S&P MCP ETF,464287507,3119,0.034,15505
A002,A001,IJR,ISHARES TR,CORE S&P SCP ETF,464287804,4308,0.047,49422
A067,A001,IJS,ISHARES TR,SP SMCP600VL ETF,464287879,391,0.004,2343
A058,A001,INTC,INTEL CORP,COM,458140100,430,0.005,9095
