ID,Company id,Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares
B900,B003,MSFT,MICROSOFT CORP,COM,594918104,9416453,0.26,39264670
B901,B003,BRK-B,BERKSHIRE HATHAWAY INC DEL,CL B NEW,84670702,7626693,0.21,24689845
B902,B003,CNR.TO,CANADIAN NATL RY CO,COM,136375102,6517808,0.18,54826786
B903,B003,WM,WASTE MGMT INC DEL,COM,94106L109,5527563,0.16,35234344
B904,B003,CAT,CATERPILLAR INC,COM,149123101,1761631,0.049,7353614
B905,B003,DE,DEERE & CO,COM,244199105,1679750,0.047,3917693
B906,B003,ECL,ECOLAB INC,COM,278865100,759538,0.021,5218044
B907,B003,WMT,WALMART INC,COM,931142103,428327,0.012,3020859
B908,B003,KOF,COCA-COLA FEMSA SAB DE CV,SPONSORD ADR REP,191241108,421855,0.012,6214719
B909,B003,WCN,WASTE CONNECTIONS INC,COM,94106B101,284894,0.008,2149175
B910,B003,FDX,FEDEX CORP,COM,31428X106,265751,0.007,1534362
B911,B003,CCI,CROWN CASTLE INC,COM,22822V101,192618,0.005,1420072
B912,B003,CPNG,COUPANG INC,CL A,22266T109,136038,0.004,9248045
B913,B003,SDGR,SCHRODINGER INC,COM,80810D103,130487,0.004,6981664
B914,B003,UPS,UNITED PARCEL SERVICE INC,CL B,911312106,128761,0.004,740689
B915,B003,MSGS,MADISON SQUARE GRDN SPRT COR,CL A,55825T103,108605,0.003,592406
B916,B003,KHC,KRAFT HEINZ CO,COM,500754106,106766,0.003,2622600
B917,B003,HRL,HORMEL FOODS CORP,COM,440452100,99995,0.003,2195290
B918,B003,DHR,DANAHER CORPORATION,COM,235851102,99001,0.003,373000
B919,B003,WEBR,WEBER INC,CL A,94770D102,20125,0.001,2500000
B920,B003,ONON,ON HLDG AG,NAMEN AKT A,H5919C104,8580,0,500000
B921,B003,VRM ,VROOM INC ,COM ,92918V109,2550,0,2500000
B922,B003,CVNA,CARVANA CO,CL A,146869102,2464,0,520000
