ID,Company Id,Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares
G5239,G006,AZO,AUTOZONE INC,CMN,53332102,246,0,100
G933,G006,BRK-A,BERKSHIRE HATHAWAY INC DEL,CMN,84670108,70775,0,151
G3409,G006,SEB,SEABOARD CORP DEL,CMN,811543107,3922,0,1039
G5249,G006,ALB,ALBEMARLE CORP,CMN,12653101,238,0,1100
G3575,G006,AZO,AUTOZONE INC,CMN,53332102,3206,0,1300
G5252,G006,FBT,FIRST TR EXCHANGE-TRADED FD,CMN,3.37E+207,236,0,1536
G4575,G006,ELV,ELEVANCE HEALTH INC,CMN,36752103,820,0,1600
G4576,G006,ELV,ELEVANCE HEALTH INC,CMN,36752103,820,0,1600
G4974,G006,RH,RH,CMN,74967X103,427,0,1600
G4693,G006,GS,GOLDMAN SACHS GROUP INC,CMN,38141G104,677,0,1973
G4316,G006,ATRI,ATRION CORP,CMN,49904105,1208,0,2161
G4622,G006,DPZ,DOMINOS PIZZA INC,CMN,25754A201,762,0,2200
G4623,G006,DPZ,DOMINOS PIZZA INC,CMN,25754A201,762,0,2200
G4741,G006,XLG,INVESCO EXCHANGE TRADED FD T,CMN,46137V233,632,0,2293
G5112,G006,USLM,UNITED STS LIME & MINERALS I,CMN,911922102,328,0,2333
G4268,G006,NOC,NORTHROP GRUMMAN CORP,CMN,666807102,1309,0,2400
G5300,G006,SPLK,SPLUNK INC,CMN,848637104,206,0,2400
G5199,G006,QQQM,INVESCO EXCH TRADED FD TR II,CMN,46138G649,272,0,2487
G4573,G006,SAM,BOSTON BEER INC,CMN,100557107,823,0,2500
G4980,G006,BNTX,BIONTECH SE,CMN,09075V102,420,0,2800
G5299,G006,NATH,NATHANS FAMOUS INC NEW,CMN,632347100,208,0,3097
G5236,G006,BBY,BEST BUY INC,CMN,86516101,248,0,3100
G5125,G006,VFVA,VANGUARD WELLINGTON FD,CMN,921935805,321,0,3261
G3436,G006,BAC-L,BK OF AMERICA CORP,CMN,60505682,3795,0,3272
G5165,G006,CZA,INVESCO EXCHANGE TRADED FD T,CMN,46137Y401,297,0,3350
G4650,G006,ALB,ALBEMARLE CORP,CMN,12653101,737,0,3400
G4771,G006,RGI,INVESCO EXCHANGE TRADED FD T,CMN,46137V324,610,0,3424
G5272,G006,DDM,PROSHARES TR,CMN,74347R305,221,0,3474
G3342,G006,WFC-L,WELLS FARGO CO NEW,CMN,949746804,4200,0,3545
G5012,G006,BILL,BILL COM HLDGS INC,CMN,90043100,392,0,3600
G4123,G006,MDY,SPDR S&P MIDCAP 400 ETF TR,CMN,78467Y107,1594,0,3600
G4124,G006,MDY,SPDR S&P MIDCAP 400 ETF TR,CMN,78467Y107,1594,0,3600
G5065,G006,OFLX,OMEGA FLEX INC,CMN,682095104,361,0,3874
G5098,G006,PSR,INVESCO ACTIVELY MANAGED ETF,CMN,46090A101,338,0,3889
G3071,G006,WTM,WHITE MTNS INS GROUP LTD,CMN,G9618E107,5675,0,4013
G5057,G006,RFV,INVESCO EXCHANGE TRADED FD T,CMN,46137V191,364,0,4014
G4619,G006,DHIL,DIAMOND HILL INVT GROUP INC,CMN,25264R207,762,0,4122
G4642,G006,RFG,INVESCO EXCHANGE TRADED FD T,CMN,46137V217,746,0,4171
G5285,G006,DGL,INVESCO DB MULTI-SECTOR COMM,CMN,46140H601,214,0,4225
G5271,G006,SDOG,ALPS ETF TR,CMN,00162Q858,222,0,4331
G5132,G006,PFIX,SIMPLIFY EXCHANGE TRADED FUN,CMN,82889N855,314,0,4398
G5086,G006,FYX,FIRST TR SML CP CORE ALPHA F,CMN,33734Y109,347,0,4424
G4982,G006,FTEC,FIDELITY COVINGTON TRUST,CMN,316092808,419,0,4442
G5152,G006,XTN,SPDR SER TR,CMN,78464A532,305,0,4545
G5064,G006,PSCD,INVESCO EXCH TRADED FD TR II,CMN,4.61E+184,361,0,4591
G4904,G006,VFQY,VANGUARD WELLINGTON FD,CMN,921935706,483,0,4612
G5319,G006,SILC,SILICOM LTD,CMN,M84116108,201,0,4777
G4613,G006,RTM,INVESCO EXCHANGE TRADED FD T,CMN,46137V316,768,0,4844
G4936,G006,IYY,ISHARES TR,CMN,464287846,457,0,4896
G5134,G006,PEZ,INVESCO EXCHANGE TRADED FD T,CMN,46137V803,314,0,4916
G4689,G006,BH,BIGLARI HLDGS INC,CMN,08986R309,683,0,4926
G5144,G006,PSCM,INVESCO EXCH TRADED FD TR II,CMN,46138G201,307,0,4953
G4742,G006,HLT,HILTON WORLDWIDE HLDGS INC,CMN,43300A203,631,0,5000
G5163,G006,JXI,ISHARES TR,CMN,464288711,300,0,5000
G4104,G006,SAM,BOSTON BEER INC,CMN,100557107,1647,0,5000
G5269,G006,SSO,PROSHARES TR,CMN,74347R107,222,0,5015
G4991,G006,CNRG,SPDR SER TR,CMN,78468R655,413,0,5037
G4969,G006,XHS,SPDR SER TR,CMN,78464A573,430,0,5075
G3740,G006,HUM,HUMANA INC,CMN,444859102,2612,0,5100
G4530,G006,RHS,INVESCO EXCHANGE TRADED FD T,CMN,46137V373,872,0,5115
G4257,G006,BDX,BECTON DICKINSON & CO,CMN,75887109,1322,0,5200
G3807,G006,ULTA,ULTA BEAUTY INC,CMN,90384S303,2439,0,5200
G4683,G006,PSCH,INVESCO EXCH TRADED FD TR II,CMN,4.61E+153,690,0,5235
G4852,G006,RTX,RAYTHEON TECHNOLOGIES CORP,CMN,7.55E+105,534,0,5300
G5136,G006,LIT,GLOBAL X FDS,CMN,37954Y855,311,0,5322
G5288,G006,FDRR,FIDELITY COVINGTON TRUST,CMN,316092832,212,0,5325
G4767,G006,HZNP,HORIZON THERAPEUTICS PUB L,CMN,G46188101,614,0,5400
G4972,G006,PYZ,INVESCO EXCHANGE TRADED FD T,CMN,46137V704,428,0,5422
G5025,G006,XMHQ,INVESCO EXCHANGE TRADED FD T,CMN,46137V472,382,0,5543
G5052,G006,DEF,INVESCO EXCH TRD SLF IDX FD,CMN,46138J775,368,0,5546
G4873,G006,ESG,FLEXSHARES TR,CMN,33939L696,509,0,5552
G4948,G006,WNS,WNS HLDGS LTD,CMN,92932M101,448,0,5605
G5181,G006,EQRR,PROSHARES TR,CMN,74347B391,285,0,5631
G5214,G006,NA-212,AMERICAN CENTY ETF TR,CMN,25072281,261,0,5716
G5061,G006,ULVM,VICTORY PORTFOLIOS II,CMN,92647N576,362,0,5729
G5210,G006,EIRL,ISHARES TR,CMN,46429B507,262,0,5737
G5069,G006,XWEB,SPDR SER TR,CMN,78468R127,359,0,5771
G5180,G006,JHML,JOHN HANCOCK EXCHANGE TRADED,CMN,47804J107,286,0,5824
G4881,G006,PKW,INVESCO EXCHANGE TRADED FD T,CMN,46137V308,503,0,5884
G3980,G006,CI,CIGNA CORP NEW,CMN,125523100,1954,0,5900
G3981,G006,CI,CIGNA CORP NEW,CMN,125523100,1954,0,5900
G4415,G006,FIVE,FIVE BELOW INC,CMN,33829M101,1043,0,5900
G4416,G006,FIVE,FIVE BELOW INC,CMN,33829M101,1043,0,5900
G4185,G006,NSC,NORFOLK SOUTHN CORP,CMN,655844108,1453,0,5900
G4186,G006,NSC,NORFOLK SOUTHN CORP,CMN,655844108,1453,0,5900
G4246,G006,PXD,PIONEER NAT RES CO,CMN,723787107,1347,0,5900
G4475,G006,PNC,PNC FINL SVCS GROUP INC,CMN,693475105,947,0,6000
G4476,G006,PNC,PNC FINL SVCS GROUP INC,CMN,693475105,947,0,6000
G4928,G006,CZFS,CITIZENS FINANCIAL SERVS INC,CMN,174615104,462,0,6023
G5178,G006,IEUR,ISHARES TR,CMN,46434V738,288,0,6071
G5311,G006,W,WAYFAIR INC,CMN,94419L101,203,0,6200
G2724,G006,CMG,CHIPOTLE MEXICAN GRILL INC,CMN,169656105,8741,0,6300
G4726,G006,GVI,ISHARES TR,CMN,464288612,648,0,6333
G5066,G006,SPMO,INVESCO EXCH TRADED FD TR II,CMN,46138E339,361,0,6367
G5233,G006,QCON,AMERICAN CENTY ETF TR,CMN,25072521,250,0,6417
G4465,G006,TILT,FLEXSHARES TR,CMN,33939L100,967,0,6511
G4592,G006,ASND,ASCENDIS PHARMA A/S,CMN,04351P101,806,0,6600
G5309,G006,NAIL,DBX ETF TR,CMN,25490K596,204,0,6659
G5259,G006,GRES,INDEXIQ ETF TR,CMN,45409B883,231,0,6793
G5292,G006,CSX,CSX CORP,CMN,126408103,210,0,6800
G2653,G006,CMG,CHIPOTLE MEXICAN GRILL INC,CMN,169656105,9573,0,6900
G5089,G006,NA-200,RBB FD INC,CMN,74933W452,345,0,6925
G5308,G006,HAIL,SPDR SER TR,CMN,78468R689,204,0,6931
G5009,G006,SCHG,SCHWAB STRATEGIC TR,CMN,808524300,394,0,7099
G4789,G006,EMB,ISHARES TR,CMN,464288281,600,0,7100
G4774,G006,RWK,INVESCO EXCH TRADED FD TR II,CMN,46138G672,610,0,7104
G5234,G006,AMOT,ALLIED MOTION TECHNOLOGIES I,CMN,19330109,248,0,7151
G4792,G006,CATC,CAMBRIDGE BANCORP,CMN,132152109,596,0,7187
G5242,G006,FSBW,FS BANCORP INC,CMN,30263Y104,243,0,7278
G4958,G006,UJB,PROSHARES TR,CMN,74348A707,440,0,7289
G4356,G006,WM,WASTE MGMT INC DEL,CMN,94106L109,1145,0,7300
G4357,G006,WM,WASTE MGMT INC DEL,CMN,94106L109,1145,0,7300
G4366,G006,PRF,INVESCO EXCHANGE TRADED FD T,CMN,46137V613,1133,0,7307
G4918,G006,IOO,ISHARES TR,CMN,464287572,470,0,7350
G5294,G006,NURE,NUSHARES ETF TR,CMN,67092P706,209,0,7365
G4870,G006,GVIP,GOLDMAN SACHS ETF TR,CMN,381430545,512,0,7377
G5001,G006,FRPH,FRP HLDGS INC,CMN,30292L107,399,0,7409
G4917,G006,PBE,INVESCO EXCHANGE TRADED FD T,CMN,46137V787,471,0,7422
G5220,G006,SMMV,ISHARES TR,CMN,46435G433,258,0,7479
G4775,G006,BBY,BEST BUY INC,CMN,86516101,609,0,7600
G4394,G006,MSTR,MICROSTRATEGY INC,CMN,594972408,1075,0,7600
G5323,G006,AZBA,AIM ETF PRODUCTS TRUST,CMN,00888H208,200,0,7623
G4754,G006,XTL,SPDR SER TR,CMN,78464A540,623,0,7640
G4568,G006,SMLV,SPDR SER TR,CMN,78468R887,829,0,7702
G4278,G006,MMTM,SPDR SER TR,CMN,78468R705,1292,0,7730
G4520,G006,PTF,INVESCO EXCHANGE TRADED FD T,CMN,46137V811,883,0,7788
G4729,G006,PSL,INVESCO EXCHANGE TRADED FD T,CMN,46137V886,646,0,7819
G4330,G006,RPG,INVESCO EXCHANGE TRADED FD T,CMN,46137V266,1194,0,7880
G4240,G006,VTHR,VANGUARD SCOTTSDALE FDS,CMN,92206C599,1354,0,7884
G3972,G006,DJCO,DAILY JOURNAL CORP,CMN,233912104,1977,0,7893
G5062,G006,XSVM,INVESCO EXCHANGE TRADED FD T,CMN,46137V480,362,0,7920
G4737,G006,FEX,FIRST TR LRGE CP CORE ALPHA,CMN,33734K109,639,0,7990
G4997,G006,DOW,DOW INC,CMN,260557103,403,0,8000
G4421,G006,TEAM,ATLASSIAN CORPORATION,CMN,49468101,1029,0,8000
G5054,G006,SDS,PROSHARES TR,CMN,74347G416,367,0,8002
G4403,G006,MGC,VANGUARD WORLD FD,CMN,921910873,1066,0,8057
G4226,G006,VAW,VANGUARD WORLD FDS,CMN,92204A801,1376,0,8088
G5084,G006,NJUL,INNOVATOR ETFS TR,CMN,45782C276,347,0,8166
G4799,G006,SLYG,SPDR SER TR,CMN,78464A201,590,0,8179
G5074,G006,TSEM,TOWER SEMICONDUCTOR LTD,CMN,M87915274,354,0,8200
G5177,G006,TZA,DIREXION SHS ETF TR,CMN,2.55E+236,289,0,8217
